ticker,name,run_date,prior_status,new_status,prior_score,new_score
SAATVIKGL,SAATVIK GREEN ENERGY LTD,2026-03-24,Investable,Watchlist,70.63,69.38
ATALREAL,ATAL REALTECH LIMITED,2026-03-24,Watchlist,Avoid,50.48,49.49
RELIANCE,RELIANCE INDUSTRIES LTD,2026-03-24,Watchlist,Avoid,50.34,49.93
PRUDMOULI,PRUDENTIAL SUGAR CORPORAT,2026-03-24,Avoid,Watchlist,49.57,53.27
GROWWHOSPI,GROWWAMC - GROWWHOSPI,2026-03-24,Watchlist,Investable,69.88,70.04
NIITLTD,NIIT LIMITED,2026-03-24,Avoid,Watchlist,49.55,50.48
DOMS,DOMS INDUSTRIES LIMITED,2026-03-24,Watchlist,Avoid,50.76,49.09
INDIANB,INDIAN BANK,2026-03-24,Watchlist,Avoid,50.12,49.96
MINDTECK,MINDTECK (INDIA) LIMITED,2026-03-24,Avoid,Watchlist,48.72,50.07
TAINWALCHM,TAINWALA CHEMICAL AND PLA,2026-03-24,Avoid,Watchlist,49.21,50.16
TIRUPATIFL,TIRUPATI FORGE LIMITED,2026-03-24,Watchlist,Avoid,50.9,49.6
OSIAHYPER,OSIA HYPER RETAIL LIMITED,2026-03-24,Avoid,Watchlist,49.45,52.98
SHK,S H KELKAR AND CO. LTD.,2026-03-24,Avoid,Watchlist,49.91,50.27
CAMPUS,CAMPUS ACTIVEWEAR LIMITED,2026-03-24,Avoid,Watchlist,49.85,50.37
COMPUSOFT,COMPUCOM SOFTWARE LTD,2026-03-24,Watchlist,Avoid,50.57,49.85
MOIL,MOIL LIMITED,2026-03-24,Watchlist,Avoid,51.47,49.41
SGIL,SYNERGY GREEN IND. LTD,2026-03-24,Watchlist,Avoid,50.01,49.43
RSWM,RSWM LIMITED,2026-03-24,Avoid,Watchlist,49.97,50.98
MUNJALAU,MUNJAL AUTO IND. LTD.,2026-03-24,Avoid,Watchlist,49.41,50.03
VISASTEEL,VISA STEEL LIMITED,2026-03-24,Avoid,Watchlist,48.18,50.22
DEEPAKFERT,DEEPAK FERTILIZERS & PETR,2026-03-24,Avoid,Watchlist,49.53,50.12
WHEELS,WHEELS INDIA LTD,2026-03-24,Watchlist,Avoid,50.93,48.39
UDS,UPDATER SERVICES LIMITED,2026-03-24,Avoid,Watchlist,49.82,50.48
JOCIL,JOCIL LIMITED,2026-03-24,Avoid,Watchlist,48.49,50.24
KSCL,KAVERI SEED CO. LTD.,2026-03-24,Watchlist,Avoid,50.09,49.08
MOKSH,MOKSH ORNAMENTS LIMITED,2026-03-24,Avoid,Watchlist,49.34,50.64
RATNAVEER,RATNAVEER PRECISION ENG L,2026-03-24,Watchlist,Avoid,50.02,49.62
EVERESTIND,EVEREST INDUSTRIES LTD,2026-03-24,Avoid,Watchlist,49.46,51.37
GMDCLTD,GUJARAT MINERAL DEV CORP,2026-03-24,Watchlist,Avoid,51.07,49.49
MANUGRAPH,MANUGRAPH INDIA LIMITED,2026-03-24,Avoid,Watchlist,49.62,51.28
